City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
479,mathba,22.2855,89.9629,27.03,90,100,1.81,BD,1722886338
480,villa del totoral,-30.8167,-63.7167,21.2,42,0,4.05,AR,1722886339
481,plettenberg bay,-34.0527,23.3716,11.97,53,0,2.1,ZA,1722886340
482,quellon,-43.1167,-73.6167,7.99,94,100,7.76,CL,1722886342
483,fisterra,42.9049,-9.2629,19.86,95,22,3.42,ES,1722886343
484,tulun,54.5611,100.5792,12.82,87,12,1.39,RU,1722886344
485,borkum,53.5809,6.6915,22.75,79,5,2.19,DE,1722886345
486,ovruch,51.3246,28.8035,17.81,77,100,1.79,UA,1722886346
487,pacific grove,36.6177,-121.9166,24.56,90,100,4.12,US,1722886347
488,cedeira,43.6797,-8.0209,22.14,38,4,2.93,ES,1722886348
489,kirensk,57.7853,108.1119,12.12,65,6,0.73,RU,1722886349
490,marsh harbour,26.5412,-77.0636,29.29,74,100,6.81,BS,1722886350
491,smithers,54.7804,-127.1743,22.18,35,40,3.6,CA,1722886352
492,kindia,10.0569,-12.8658,22.02,97,100,1.91,GN,1722886353
493,knjazevac,43.5648,22.2502,24.49,50,99,0.98,RS,1722886354
494,assab,13.0092,42.7394,30.37,76,100,6.94,ER,1722886355
495,djamaa,33.5339,5.9931,34.46,19,0,3.65,DZ,1722886356
496,talcahuano,-36.7167,-73.1167,11.82,71,75,4.12,CL,1722886358
497,chengde,40.9725,117.9361,19.87,86,0,1.19,CN,1722886359
498,benghazi,32.1167,20.0667,28.77,66,0,5.06,LY,1722886360
499,tinajo,29.0788,-13.7081,23.49,69,20,7.72,ES,1722886361
500,rampur,28.8167,79.0333,28.59,77,100,3.02,IN,1722886362
501,baro,8.6,6.4167,26.46,73,100,1.81,NG,1722886363
502,viana do castelo,41.6932,-8.8329,18.93,91,1,5.84,PT,1722886215
503,grand-lahou,5.1367,-5.0242,23.35,91,100,3.77,CI,1722886365
504,muynoq,43.7683,59.0214,29.93,25,3,4.89,UZ,1722886366
505,merizo village,13.2658,144.6691,26.31,79,100,2.54,GU,1722886367
506,sao joao da barra,-21.6403,-41.0511,26.05,83,0,7.47,BR,1722886369
507,mahajanga,-15.7167,46.3167,20.01,88,0,1.03,MG,1722886370
508,hami,42.8,93.45,27.2,26,3,1.98,CN,1722886371
509,changsha,28.2,112.9667,28.09,71,78,2.6,CN,1722886372
510,cold lake,54.4502,-110.2017,15.97,94,100,4.63,CA,1722886373
511,joshimath,30.5667,79.5667,18.18,97,88,0.51,IN,1722886374
512,uliastay,47.7417,96.8444,14.07,36,58,2.57,MN,1722886375
513,mechanicstown,41.4429,-74.3885,32.28,64,0,5.66,US,1722886376
514,gorontalo,0.5412,123.0595,22.57,97,54,0.89,ID,1722886377
515,prachuap khiri khan,12.2167,99.75,24.1,88,98,1.17,TH,1722886378
516,aral,40.5156,81.2636,28.63,32,100,3.54,CN,1722886380
517,mgandu,-5.95,34.1333,17.05,36,3,1.94,TZ,1722886381
518,ocean shores,46.9737,-124.1563,18.34,79,100,3.6,US,1722886382
519,benoy,8.9833,16.3199,24.07,79,100,1.09,TD,1722886383
520,kruisfontein,-34.0033,24.7314,8.82,58,0,2.8,ZA,1722886385
521,hengchun,22.0042,120.7439,28.61,81,48,3.14,TW,1722886386
522,sola,-13.8833,167.55,24.65,65,50,10.47,VU,1722886387
523,birine,35.635,3.225,28.58,18,0,6.56,DZ,1722886388
524,katoro,-3.0203,31.8958,19.95,34,1,0.58,TZ,1722886389
525,saudarkrokur,65.7461,-19.6394,10.16,95,99,5.57,IS,1722886215
526,broome,42.2506,-75.833,28.72,55,20,3.09,US,1722886300
527,zuyevka,58.405,51.1335,13.86,96,20,1.81,RU,1722886394
528,mweka,-4.85,21.5667,24.77,35,19,0.68,CD,1722886395
529,key largo,25.0865,-80.4473,32.0,81,93,5.71,US,1722886200
530,bac lieu,9.285,105.7244,25.78,89,55,3.55,VN,1722886397
531,port augusta,-32.5,137.7667,6.38,82,13,1.01,AU,1722886398
532,glenfield park,-35.1372,147.334,4.77,91,10,1.28,AU,1722886399
533,kayes,14.0,-11.0,26.2,77,99,2.06,ML,1722886400
534,nemuro,43.3236,145.575,16.76,100,95,2.12,JP,1722886401
535,mogadishu,2.0371,45.3438,24.51,80,2,10.1,SO,1722886402
536,lusaka,-15.4067,28.2871,18.21,19,0,1.52,ZM,1722886355
